Temperatura,Personas,Electrodomesticos,Consumo_kWh
22.789305700892015,4.0,16.0,58.99069625819676
17.39801222028796,4.0,8.0,44.0696308029786
18.270450606899534,2.0,9.0,38.086046149662614
20.978934551777783,5.0,14.0,58.08618374146196
31.831924109259973,5.0,9.0,52.570032169725685
26.116730560086165,3.0,13.0,52.19177737356072
16.71258009706709,2.0,15.0,45.14766519692935
24.755246829268877,2.0,11.0,50.39829209756586
23.370616251032935,4.0,15.0,58.818706574346166
23.836482321408592,5.0,7.0,43.75980006762755
22.979446672078286,,20.0,67.54034252824664
21.432356468570724,5.0,17.0,65.04078434616984
11.555364693172079,,9.0,34.25964728634027
17.302677259416377,3.0,19.0,61.7754653636882
23.379236923167255,3.0,14.0,52.36590130513117
24.13803428681419,4.0,15.0,58.944318559093006
24.083731661953,5.0,10.0,51.47473586864224
23.50876956810624,4.0,10.0,54.440044065583095
12.416681180376818,2.0,17.0,43.9126900012818
21.09963718950182,2.0,8.0,33.298651711385226
28.348220662295212,1.0,11.0,205.27875710520263
,3.0,8.0,35.07102258912478
24.78843106673868,3.0,17.0,60.94067311111106
33.94510448941427,5.0,5.0,50.77855793544386
22.31511380196586,2.0,17.0,54.65964853349072
23.4760343461894,2.0,14.0,54.83680237448733
26.708970176405153,2.0,11.0,46.518635399129025
21.86226235467622,1.0,10.0,36.73255622898099
27.10466053374778,4.0,19.0,70.0967229023423
10.769745668964983,2.0,6.0,21.885620362080147
19.963872559255627,4.0,13.0,51.37713196243427
32.95856284119541,4.0,18.0,72.00848622841654
32.03548869894104,1.0,15.0,182.1404477297656
29.145735959369393,1.0,,52.793283416478225
27.447054867221077,4.0,18.0,65.49743535996691
18.064645307102104,4.0,20.0,59.41947112249816
21.620396245407004,,6.0,32.90602140995829
27.76892399781357,1.0,9.0,39.96640237404104
23.943719743214167,2.0,14.0,49.86527963916194
26.386412171884338,3.0,19.0,67.19870942578716
28.955535080620386,2.0,17.0,64.73921515482975
23.171638602649406,2.0,11.0,44.37425707592342
21.285914434639576,1.0,8.0,35.854081248559936
21.71324271517789,5.0,10.0,56.00315537954569
24.742144792524492,4.0,,60.23078256227337
24.85589316088282,5.0,13.0,60.08872389374722
20.22446189825667,5.0,6.0,47.406722136358574
13.23073738974538,5.0,15.0,50.69502544713428
24.63402784924388,,18.0,55.91971908920872
21.405433660616527,4.0,5.0,37.52138954697552
19.469781959208614,3.0,7.0,34.262603148978236
21.136720463943238,5.0,11.0,53.795375469770384
20.533883183187182,2.0,17.0,54.30927899089271
11.309642855736595,1.0,15.0,35.48793547885539
26.93996579015274,4.0,17.0,63.450272353067184
26.102433061668076,5.0,17.0,66.38632198929606
,2.0,15.0,51.38315126442025
30.88725413020233,2.0,19.0,67.64783656071896
17.07702367912206,1.0,14.0,42.656197960477904
24.016002343099196,3.0,9.0,47.27714318529234
26.664281061996697,5.0,20.0,68.4922243731349
22.172800000556506,4.0,9.0,48.113519534230704
23.812157281508682,3.0,19.0,60.38269044925671
19.872620459565784,4.0,13.0,51.81775563388087
25.67640120090554,4.0,18.0,
19.252317433771662,1.0,19.0,59.80211799528854
21.44289204796017,2.0,,50.364839684842714
33.328252537468465,2.0,8.0,44.750595629982826
29.231312630891278,1.0,13.0,49.87647754276175
21.799534837972107,5.0,7.0,45.1212909186267
17.837636018095328,1.0,5.0,28.005951081563012
19.338807814823785,1.0,6.0,31.339447387685972
30.79935657974105,2.0,13.0,55.37175298841108
23.069797438991923,1.0,15.0,47.477212420706564
26.053695913852522,1.0,15.0,50.293507708608374
19.313904142138686,5.0,8.0,178.0585916795561
19.63980938884901,4.0,6.0,40.37211212232572
23.868266540355773,3.0,16.0,55.78616422283851
,4.0,,67.37999952952096
33.56758540659298,5.0,13.0,71.53205569247002
17.962790558293626,4.0,5.0,40.35799104846653
16.97189003380951,4.0,12.0,52.47853788558914
16.430065378234623,2.0,7.0,34.31424083624677
28.744640372302936,2.0,17.0,60.46343545873535
27.490344500368934,3.0,14.0,56.23917025949241
14.733275218855017,3.0,17.0,49.53580949615472
,5.0,9.0,55.87706486553939
,5.0,10.0,50.94922152654988
26.16718575156481,5.0,16.0,69.20953529715251
17.860657576299733,,11.0,36.92662603901485
13.605326644208972,3.0,7.0,36.73760465701543
16.248294221897563,1.0,10.0,33.66705839275827
32.91157710821738,5.0,10.0,
26.49161140046943,5.0,5.0,45.4401338658307
23.923262408688434,1.0,6.0,29.84937542123573
22.76600921523424,1.0,7.0,32.47682429600237
20.158332207523326,2.0,7.0,31.20441036126873
22.79446563563583,2.0,19.0,64.42735033325162
24.45018731773696,4.0,18.0,64.20466422535658
25.007137365470662,,14.0,55.20372164107287
24.46906703525942,5.0,20.0,72.29748498228074
16.908928049309388,3.0,8.0,36.89936324330709
20.954621945817035,2.0,5.0,
27.44818194166144,4.0,9.0,49.08190527717973
18.316114448296297,4.0,9.0,39.12029364021868
24.46135854184112,4.0,8.0,42.26618002640819
24.708505068180177,2.0,9.0,44.9795470770232
24.524187601462934,3.0,20.0,60.412711784839544
29.784150294334008,3.0,18.0,66.05636770908822
21.74433919082732,2.0,10.0,43.21145605044656
21.89396044064275,3.0,20.0,61.21170203987376
21.080720251322493,1.0,18.0,50.47710904826525
23.25336015180587,3.0,17.0,52.044835862018196
19.367081027523177,4.0,7.0,40.8335549264966
23.085547406999318,1.0,17.0,
21.115602599992194,1.0,11.0,37.613270594012654
24.466344209614014,1.0,11.0,42.99315757516851
19.148066364535843,4.0,17.0,61.554687832416505
24.302940723533567,4.0,6.0,47.51327916826744
22.192338488923674,5.0,13.0,55.96702189781722
17.159859403368973,4.0,9.0,44.0293770866469
23.275634469371283,5.0,16.0,61.961401641698245
17.10712143173786,1.0,19.0,48.1765884968722
30.38214911273174,3.0,5.0,41.36355009355481
,5.0,17.0,56.79847958008612
36.760327127215604,1.0,8.0,53.365026114756624
,3.0,13.0,48.33063296442436
36.146204891645056,4.0,17.0,67.46445019917579
21.102767996131465,3.0,7.0,36.405540308505934
24.856983334934863,5.0,20.0,73.66452966294631
21.942774396229414,4.0,11.0,53.74237786621464
23.253756925941346,3.0,6.0,34.47165129167972
10.742334875807485,4.0,15.0,55.80031534086168
19.8134384700406,2.0,19.0,56.389243231679565
16.318767385274718,4.0,19.0,54.90646959659168
22.226293736642678,2.0,5.0,32.78755423561554
20.373980946277896,5.0,8.0,49.83709366614199
,1.0,,35.53280606822472
23.18974124725835,2.0,19.0,58.8632825076509
24.637769872229704,4.0,9.0,46.55633161903922
24.27265745239343,5.0,7.0,47.13294644556507
20.800778680574037,,13.0,48.913490478016456
30.712366190593265,1.0,11.0,45.686306202369806
22.7186731696516,1.0,8.0,38.896815899913705
14.657108573539679,3.0,13.0,39.18368935730557
20.780532762118057,,13.0,53.6015278064769
19.444590342399888,1.0,13.0,39.723884690581635
28.405840158485347,3.0,13.0,57.21485798520589
23.87352071692212,1.0,10.0,41.14927629447096
18.46192869106197,5.0,10.0,46.299698817040614
21.883138230801574,4.0,17.0,61.676032411162154
,4.0,13.0,
14.910072915756228,4.0,13.0,126.91702578213419
25.70768802000043,5.0,,43.190153469424075
17.33039175553089,5.0,7.0,44.76140478166035
,5.0,5.0,47.25955685720984
20.887417697619423,2.0,8.0,38.141137065957864
19.843848122508124,5.0,7.0,48.55806311929248
20.09834875105361,5.0,15.0,60.45196104238266
26.0511013942875,2.0,19.0,58.22667931905415
,1.0,12.0,34.52906260015035
14.958132298278667,4.0,8.0,41.566998250783115
20.20897295610925,2.0,9.0,36.667023924037615
19.807483393172316,3.0,15.0,50.76235157031354
12.540974801939798,1.0,12.0,32.152953475983104
20.580923205855417,2.0,16.0,49.5060004546984
17.23362015036123,1.0,17.0,45.08887258541839
22.11779805130451,1.0,10.0,42.600857522448955
26.8813814420111,2.0,8.0,40.270398186158275
16.903140784481604,4.0,5.0,42.558380879579126
23.698845649040415,3.0,13.0,51.81703933483531
28.093972567048638,3.0,18.0,62.58013609480216
20.670716299453037,2.0,6.0,33.83651245915006
,4.0,11.0,47.19556379319279
23.065712964640433,3.0,6.0,41.00812132731875
30.024665018945367,5.0,16.0,66.90365344983557
27.914566500912773,4.0,5.0,43.013588050373734
31.241768187676556,2.0,17.0,57.66833711132319
20.116879210395386,5.0,8.0,47.85927602382683
15.959076892714094,2.0,9.0,32.334481142050755
,2.0,7.0,31.571603906539103
23.802929776303195,3.0,19.0,61.51368820434703
23.066707383872316,5.0,7.0,
21.36693251086473,2.0,7.0,
18.820239193550798,2.0,20.0,59.05329257503911
25.879328385197905,4.0,6.0,44.0595668376923
21.67448872484117,3.0,,44.442311706718414
22.5364832273916,4.0,14.0,59.82557708449655
16.761592217387065,1.0,11.0,33.20951407984351
31.28510778433515,2.0,15.0,
23.602003256596443,3.0,8.0,44.902277381143875
16.524369012362925,,20.0,54.241320736789106
,1.0,5.0,
20.230252016892745,,18.0,66.44310926517785
20.571789699054964,,14.0,55.62651638659706
32.29625028466903,2.0,5.0,40.00601659520403
,2.0,11.0,49.34344472912
13.938765359720657,5.0,11.0,48.2143075956897
22.359268645591126,2.0,7.0,38.317886027068205
25.33167538681493,4.0,20.0,67.19600166348434
23.660577915811427,4.0,20.0,71.50295356726475
20.31747509458904,2.0,15.0,51.88356019750017
24.48877678207638,4.0,12.0,53.71872983846409
13.029555171445237,1.0,7.0,26.653913307804586
,5.0,8.0,43.75644261895655
28.801535370403123,2.0,16.0,60.93997026322197
33.66463940562657,3.0,8.0,50.76437797648048
18.448793686322304,4.0,20.0,64.20731058387676
,1.0,9.0,38.41885071970601
30.94901527119416,2.0,,69.26554700874647
13.664280176737147,2.0,10.0,37.85973422959347
15.52852841055925,2.0,17.0,51.817193032940494
15.288700688021578,3.0,,36.64457031888916
19.30214809167744,3.0,17.0,55.907004965741294
24.478283129346362,1.0,,49.698519198361055
16.23038944591206,4.0,10.0,43.08742320060532
24.54308715832163,2.0,11.0,45.42907505003003
18.934936717270222,3.0,6.0,35.545093638199965
16.329930574494387,1.0,7.0,34.013899674009835
28.15007899640338,1.0,,39.40942890947282
23.45417519771734,1.0,20.0,59.43614437043885
20.626718631155505,4.0,,41.22472690944766
23.640367348236445,5.0,11.0,50.85673107377557
15.581900115697511,1.0,10.0,38.139235312979174
21.6169117902845,2.0,6.0,34.9197496184676
27.05500870203365,1.0,13.0,45.11815695735275
13.410033481926664,2.0,6.0,26.81258116897639
19.381100605328733,1.0,7.0,30.634012334807696
20.79827684500755,,,50.22053067871699
23.93845550850174,4.0,17.0,65.98030793185782
9.856217531179727,2.0,12.0,36.78525175605061
21.081954797302945,2.0,,44.535552143942326
13.967883234651799,2.0,10.0,37.56884036663843
13.74577879603955,4.0,,31.827365571480748
24.456396642302565,5.0,14.0,61.63630878015576
15.307472680679549,4.0,14.0,45.27340355483474
20.519558343875783,4.0,20.0,67.33988524159004
25.068552070388037,2.0,10.0,45.76025216151834
22.454713982633002,3.0,20.0,62.95774158488459
20.938744076436173,,5.0,41.645821845417096
20.5278689025556,3.0,9.0,44.397881401061426
21.37011051866678,1.0,7.0,33.35193447872046
16.805809903130672,5.0,20.0,65.16864467855224
27.223026338902283,3.0,9.0,43.81565062184116
15.952990366798286,3.0,13.0,47.69460937666961
29.642672609970127,5.0,12.0,62.06686602998208
17.371508211876645,2.0,8.0,36.18316464006771
25.467508585041276,4.0,18.0,65.85396648642482
,2.0,8.0,42.306034646211735
22.651956470353507,3.0,15.0,
21.833134473353535,5.0,17.0,58.0537154933918
24.92839838510416,5.0,14.0,61.699228271988765
27.88041530654757,3.0,14.0,55.91943729646046
27.07671687097019,2.0,19.0,
14.93823759070435,5.0,6.0,40.903691535772246
19.642076573842715,3.0,14.0,46.54558793510715
18.697214492150348,,16.0,57.89893718968397
21.24188719238568,1.0,16.0,48.70280960593822
21.735396131301304,1.0,19.0,
20.933164907054454,3.0,20.0,58.997485404623156
22.927659451738503,2.0,16.0,56.95106807732015
27.52953942849019,5.0,16.0,66.90458800098085
15.931051109946809,3.0,11.0,44.28402932947227
,1.0,11.0,
23.3532826846131,4.0,11.0,52.044584554307576
25.893211538364575,3.0,17.0,58.551085520880285
26.22636825700881,5.0,12.0,
26.528610844034556,1.0,19.0,55.34564056608946
25.771603867123066,2.0,9.0,42.80957989766711
22.122650185001607,1.0,8.0,38.646259806769145
14.485330268253136,5.0,17.0,54.129201383689754
26.945385217398005,2.0,17.0,52.55726021896822
25.318454739798035,2.0,5.0,38.49511172996792
25.3074785580661,4.0,19.0,62.08788966137912
24.141679903524636,5.0,14.0,53.32550786484542
,5.0,20.0,76.14217935100906
23.881215194974093,5.0,,60.94522500507165
25.08666747528757,1.0,13.0,47.58340452782311
24.088039599056213,5.0,9.0,50.91305219905996
27.183885108401906,,17.0,56.26776302580291
28.286232984420018,2.0,15.0,58.15386199567318
16.400208367584902,4.0,11.0,45.227117109623244
28.776454159119865,2.0,,46.29478034359446
20.772025597025706,,13.0,42.15354664171596
24.64209726618636,1.0,11.0,41.37640381173255
21.78950370340861,5.0,,58.074142895422625
19.90838032121794,4.0,7.0,38.4646937624565
21.997459573098155,4.0,15.0,56.01522343369312
22.24531758397698,5.0,15.0,
,5.0,6.0,47.72890216748892
21.981477859939883,1.0,16.0,47.38992494464305
15.22654059921005,1.0,15.0,41.56372301498858
27.4862808563619,3.0,19.0,63.30500201110128
22.61079233252968,,17.0,49.020689320114734
22.743894489819443,5.0,7.0,48.749986595392286
20.872727718091355,3.0,7.0,42.621535894758814
20.434154573875055,3.0,12.0,42.81147987636403
31.992986327127078,5.0,,51.36335542288603
26.09820410072012,5.0,20.0,71.94015987232741
22.672713360679907,2.0,18.0,53.94786385321223
11.463839227911407,4.0,9.0,39.381370595410516
16.538959027376528,5.0,15.0,53.21674890350473
28.97036679525806,4.0,6.0,50.047092794575455
24.731192047191133,5.0,19.0,68.12774452768882
12.47135844749281,5.0,,39.056273676768065
21.062926802624965,5.0,5.0,38.49455613280445
26.245314632817625,4.0,17.0,69.49402430469485
21.715739085065156,5.0,8.0,44.212285611589664
19.908793901723115,5.0,16.0,
22.513530364996246,4.0,18.0,
25.43379016490703,2.0,16.0,57.17627759645374
27.690712738440276,3.0,16.0,63.29459543232076
26.118402655325546,3.0,19.0,59.138221785997736
,2.0,14.0,47.0459422779545
29.226869789582114,1.0,15.0,50.474661728549826
19.09872553029718,3.0,20.0,59.65160629434724
29.880408648503725,3.0,10.0,56.456505429900766
18.00545129984066,1.0,14.0,42.0576170117636
23.181755481852324,,10.0,46.62343550352385
19.51630642802037,1.0,15.0,42.37095212752373
19.278557289565256,1.0,15.0,45.74958852393889
18.70463325423618,4.0,6.0,35.17678220590899
23.0334063629769,4.0,13.0,53.50405175599527
30.59909112413942,4.0,8.0,50.76333341823289
19.050561544620635,1.0,10.0,34.404948763525276
25.07976039141881,4.0,,50.188759113211
28.837071408245862,3.0,10.0,58.90050391672575
19.711815664285695,3.0,10.0,
24.118526737113754,3.0,9.0,47.91015761759461
12.218500745532088,2.0,9.0,27.268025896235592
31.36472249606488,5.0,13.0,64.44636079351666
25.430253233836805,5.0,11.0,61.64290290173713
29.532923246016693,2.0,18.0,60.141099462377824
23.412078415197573,,11.0,56.10366249851056
14.420308449332659,2.0,11.0,39.84098966590719
30.01987094127457,4.0,13.0,63.822134072983516
28.125034310901427,2.0,14.0,56.761623496797576
,3.0,10.0,41.753901072256845
29.739739433453423,2.0,7.0,42.205344252746
15.263450604993963,1.0,17.0,49.02724907288384
15.211217992779794,4.0,7.0,33.925043849906146
31.739049617627472,1.0,7.0,39.75883233777476
27.222887792147183,1.0,13.0,51.763401500528786
,3.0,13.0,50.00562427420314
26.34089954746779,,13.0,51.34790798546365
,1.0,10.0,42.81605325296974
18.352893765893228,1.0,13.0,39.947449003629934
19.924195218618117,2.0,17.0,51.210455956455206
15.608765510183542,4.0,9.0,44.134694516166455
16.194746514009715,2.0,19.0,54.78272385540561
28.710427686808302,4.0,15.0,60.35436910777782
21.993983263402033,4.0,10.0,51.09065978243804
16.030943951659417,2.0,8.0,28.51780714294745
28.344557007829813,3.0,9.0,
15.490021926630995,1.0,8.0,27.10206323660644
,1.0,14.0,48.61088867176723
28.896840920145408,1.0,14.0,56.65557054436851
17.815892165963035,1.0,15.0,45.37647935903574
27.611237966884286,4.0,18.0,69.19246906797791
17.324339619978154,3.0,15.0,48.316065331634505
23.646022367071488,5.0,6.0,49.279108078123016
24.721350160447304,1.0,17.0,52.62178909413256
32.306940946125124,4.0,15.0,63.349361605647424
27.048521548909317,1.0,14.0,47.66794201832778
20.56329403980187,5.0,12.0,59.837342394334705
15.166081862677627,5.0,18.0,55.5465149130565
17.897623813437583,4.0,9.0,43.87713646265175
19.038557492584033,2.0,6.0,27.4164416012535
19.255660162628022,3.0,9.0,43.530018816596815
28.712089851498547,1.0,10.0,40.45906585291958
22.31933183798628,,12.0,41.15784182640078
20.928963386225284,2.0,20.0,53.3635520860823
22.554595483099856,4.0,7.0,38.27184681715146
24.671214191729504,2.0,8.0,44.324941085666154
20.533332123660973,5.0,10.0,48.852386419816284
25.688644997429478,2.0,15.0,51.19018426514366
26.64993575306502,1.0,6.0,35.71416826795527
27.035629646786635,3.0,5.0,44.123437346211304
31.3768791607789,5.0,15.0,68.45672980931027
23.95322089951212,4.0,20.0,68.4693402410881
14.692745672954494,3.0,17.0,50.93644905933666
23.170779692954223,1.0,8.0,38.71641950786083
,4.0,11.0,45.76266885280483
15.875591537817709,1.0,16.0,42.7146486571833
17.848655430518725,2.0,18.0,56.2823557051936
17.83083711481541,4.0,12.0,46.343288762929525
26.229116660053222,5.0,12.0,57.02179946744475
17.128057202295878,5.0,8.0,46.19754362622064
27.376032465307276,2.0,5.0,39.22637381073979
21.17453265621373,4.0,16.0,58.678474922460815
29.328716974107714,5.0,10.0,57.08657272913477
21.876072778995773,2.0,12.0,45.69306245486757
24.929082225663468,3.0,10.0,45.77634676089419
19.63039727279125,5.0,10.0,50.92144130815153
28.622534601153625,5.0,12.0,63.76675793417957
24.112498430004695,3.0,5.0,46.575762549562924
20.833987801161378,4.0,13.0,50.03707242689538
17.341048253761883,1.0,20.0,
,1.0,15.0,44.00178710712188
29.32409761482954,1.0,12.0,48.74306706665359
24.72379022811911,5.0,7.0,48.37409612365347
23.816855577563604,1.0,18.0,52.096046054722265
13.589172891930215,2.0,16.0,39.31407168866962
25.79430600148004,4.0,9.0,48.29071708480359
26.1179175776869,4.0,9.0,48.50738922009354
28.122302587697984,3.0,6.0,45.371521186326206
20.761787748758668,4.0,,66.86314547384566
20.080632927120735,4.0,9.0,41.73478710676483
24.49824311873656,,13.0,49.72146865222202
21.711190286786014,1.0,17.0,47.17480541248958
13.167907752948098,5.0,9.0,44.770958217926335
20.78299063370764,1.0,18.0,52.00357275089037
19.17211664698431,4.0,5.0,32.63292435571647
31.775539824655787,4.0,9.0,53.22302172698305
27.456007025941055,3.0,12.0,54.88549720833428
26.694559618190365,4.0,13.0,59.243635541209585
19.30215242947593,1.0,15.0,43.04390590318751
23.27299871174973,5.0,13.0,
19.881683140967056,2.0,5.0,29.128015402572526
26.593657798896352,5.0,17.0,64.7964398987671
19.431736966406334,3.0,,44.05264337202342
15.424159769593299,2.0,10.0,40.23848748909851
18.17407855522813,2.0,16.0,40.943324939158735
19.822159081103067,4.0,13.0,49.848312815234934
,4.0,20.0,69.00553708820472
21.66074418257273,3.0,6.0,42.00178950211073
26.298394522072535,1.0,8.0,40.981349447687506
24.39257937598903,3.0,14.0,55.512330078777964
20.66457686682993,3.0,,56.89931008877213
30.02817691890027,3.0,18.0,65.7300743698462
25.761772601234764,2.0,12.0,46.588318320939656
17.950407172635856,3.0,20.0,61.499463259578036
20.88386205060175,5.0,11.0,51.172524794404524
17.864155497984868,2.0,8.0,36.11870454646562
24.46920413203868,1.0,9.0,34.53264567094202
16.949048282359165,3.0,17.0,51.74797772307465
31.893938899103077,3.0,18.0,68.31955984550814
18.749660518616963,3.0,15.0,48.69346749594733
27.717614582655692,1.0,12.0,48.92682513026013
18.251703114290773,2.0,17.0,53.58780589818668
24.47182801595804,5.0,15.0,
24.28649736304346,,7.0,37.452850123109
25.556945846004524,4.0,7.0,45.130252662258144
17.128566744895018,,5.0,41.32230111896344
19.828310454346546,2.0,5.0,26.179737919071435
19.91848576700942,2.0,8.0,44.66912045938233
19.43259229419219,5.0,11.0,56.570376639148776
16.892066766930974,5.0,8.0,43.73723176540118
28.91474863873978,3.0,11.0,53.45998598353875
26.874299814615277,5.0,14.0,65.36190807538017
23.214352862440503,2.0,,
18.384896218305602,3.0,13.0,43.872740251313445
15.09659595578336,3.0,9.0,38.39525518989667
7.660534514483583,4.0,7.0,30.774656923102935
,5.0,8.0,65.14713433096918
21.113767242850454,4.0,18.0,62.96863195028774
23.74932443241877,5.0,14.0,59.293576807846776
24.145906318947134,4.0,7.0,36.798734486067616
28.090918350897102,4.0,18.0,67.94293105869694
19.523126826462395,3.0,7.0,42.31204846390449
18.48262717360913,4.0,20.0,63.65608975213371
,2.0,5.0,43.9498693150148
24.010457456271258,1.0,14.0,48.886904438740686
20.17728723357165,2.0,8.0,33.15418119841485
20.250296580495387,2.0,20.0,51.7581224573408
14.161724104040779,1.0,14.0,37.80687361747407
29.903411377701822,4.0,19.0,71.07237003807985
22.701638147737917,2.0,7.0,41.92428045927288
15.207551019507292,1.0,6.0,25.27307755146943
32.6150057576025,1.0,7.0,46.09324423231694
24.4342440853643,5.0,8.0,48.80446173651234
26.91785847960354,5.0,19.0,71.24280364653654
19.165339785904145,1.0,15.0,49.93876617313501
16.490308964269182,3.0,7.0,36.13604449610343
18.246166416282065,4.0,12.0,54.30038087609599
18.060623209841726,4.0,20.0,63.640632527962914
19.008511570442526,1.0,11.0,32.8438163316989
13.622720579677056,5.0,19.0,60.192641582769475
18.249124659255997,,16.0,53.751608307622064
19.99775825200685,3.0,16.0,56.482419413869806
25.31959353789327,5.0,20.0,71.95546760285085
23.857655920273658,2.0,11.0,47.04942279957412
22.413715683367737,5.0,14.0,55.18730472626739
19.478305563170466,3.0,16.0,57.19170690104146
20.670724026693307,3.0,13.0,52.85779776189591
19.07349765557042,1.0,9.0,29.043000647233903
20.00706713502065,2.0,13.0,45.554813490135345
12.01713927157568,1.0,9.0,30.365852784765508
21.176051094738817,3.0,13.0,49.25478043007898
18.485303597693967,5.0,7.0,
19.379167963033616,3.0,7.0,41.96336558971266
25.991756383843775,3.0,16.0,53.540701921308646
20.105333503198313,4.0,10.0,41.5636334589687
23.159414300208244,4.0,17.0,60.83203426630288
9.552023350313528,2.0,10.0,29.700336994294577
31.635983983563484,2.0,16.0,62.83837953265633
26.17110914189851,5.0,19.0,72.16647666367486
20.448940390666408,4.0,6.0,
23.04654144092736,3.0,20.0,65.28681411249875
27.796297919150554,5.0,12.0,62.76555726414285
,3.0,14.0,37.78272908932831
23.66449458456802,5.0,9.0,52.89142507454947
23.76954376342813,1.0,20.0,61.96335649722154
16.97406832099301,1.0,,46.54658261733193
24.91979950499206,4.0,8.0,51.55051649159887
19.929008697504887,5.0,20.0,75.94653496829201
19.521005563554997,3.0,20.0,60.536347898867504
28.193150506980743,3.0,12.0,52.64423576643144
12.016638410912995,4.0,8.0,40.16773433799173
24.614234595723925,5.0,7.0,50.287339519738936
19.05656182167931,3.0,9.0,
23.39744957312622,4.0,8.0,43.29729502525265
21.824469980859778,5.0,19.0,62.422853453521405
13.758219509652308,4.0,20.0,58.65614273758019
18.119058053236383,3.0,18.0,53.775170700617075
25.994943473681975,2.0,13.0,45.01264187882097
16.932533089735454,5.0,14.0,49.65049450921034
25.570742018005486,4.0,11.0,53.13668794705371
20.285915788733572,3.0,7.0,36.14560225359486
25.13789667990259,,17.0,64.58457459849417
27.08203296308573,,13.0,59.18150573487557
14.777412234943299,2.0,6.0,26.700075291195326
24.642812421364933,5.0,8.0,48.70768590223112
20.852828261984605,1.0,17.0,45.8074392456191
27.41964505420595,2.0,7.0,41.089733589093825
21.869119603515006,4.0,7.0,43.351566966330005
25.563194374982245,1.0,18.0,55.82358118449076
21.48619343480848,5.0,12.0,51.37988402391173
23.367286574075916,5.0,13.0,57.88393020416676
20.657953906520156,5.0,11.0,52.66448591170225
24.351307838994252,5.0,9.0,53.76349580996876
19.302468679210243,4.0,11.0,47.28502758195053
24.771777893943202,2.0,12.0,46.936368899484236
22.314500200841103,2.0,13.0,43.76645367183863
30.97660175870851,3.0,12.0,57.16821754808986
17.85457884699769,2.0,18.0,50.617959858579546
22.440393280408195,5.0,13.0,50.985660496182255
31.403933586945442,5.0,17.0,72.26972583188683
28.34269921407334,4.0,15.0,60.050686565898445
17.552454624657905,1.0,12.0,35.25265753920992
27.244102146495187,1.0,13.0,49.07412123365387
36.12017794618246,1.0,20.0,69.76841517614787
20.00079306308355,2.0,15.0,50.072269783488885
15.633580731663363,4.0,6.0,37.615074843485935
16.39247884470173,1.0,19.0,47.56652454781369
27.812984969838148,2.0,17.0,54.009882045355006
13.834434544373579,3.0,8.0,
22.734758027662537,1.0,13.0,42.67635519390601
24.124724620334057,5.0,18.0,66.53370157944077
19.11577635135323,1.0,19.0,53.209139284703475
22.701503089125925,5.0,,51.718770570521706
19.323974967410457,2.0,11.0,44.78955256390716
24.60865346967976,4.0,17.0,64.84048649340225
21.749947418713955,1.0,8.0,37.92480130933797
22.513494285193843,5.0,5.0,47.449945961888275
13.849485450428416,5.0,8.0,38.611866691401275
23.35934256893381,1.0,8.0,35.3035635732486
24.74514589633579,3.0,7.0,42.341165223593165
30.824830752234156,3.0,17.0,64.81613243023845
23.013781593839255,4.0,12.0,59.951581686701516
16.40920944165269,4.0,19.0,59.711051077913936
16.878224158326358,3.0,17.0,54.508074784102526
24.632279961127445,1.0,9.0,39.58914363388832
21.900364521707015,1.0,16.0,49.31802412259918
31.130895883476143,,,61.460763278676275
